Stock weights at age for Ple.27.21-32. Mean values for combined sexes 2002 to Data year, from survey data
1	4
2002	2025
1	10
2
0.300084370131649	0.699886400460735	0.845343945712553	0.912898196672902	0.946964471598092	0.971238640888426	0.967710206410769	0.980312714435918	0.978230115408414	0.94133466269788
